3zzf NLG
1qq9 MET
1rdi MFU
2zg3 SIA
4u54 3C5
3ao4 833
4b0c C9H
3rxp SW3
5tyh 7O4
1njj GET
2zg1 SIA
4aml GYU
4cs9 AMP
6r49 JSB
3uf9 FST
6aao 9U0
1qx1 FMF
2w8w PLS
3gv9 GV9
6r9u JVQ
1p2g 8-mer
6gz9 TXC
6abx FLC
6dim GJP
6djd GJP
1uxb SIA-GAL
3rxg SZ3
4b0j 3MQ
4q90 4H2
5cs3 EP1
6fap D3H
6fi1 D3H
6r9s JVN
2ay9 5PV
4tim 2PG
5fe6 5WZ
6ghj 3-mer
3gqz GF7
4y3j HIC
5oxk 2-mer
5z5f FUB
6gmx F7B
3l7d DK5
6g47 SIA
4ahr I2E
4ahs AKH
4amx 5GF
4jdf SPD
4mre 2C9
5nzp 9EW
1w1v ALJ
2vvo A6P
4eh8 0OP
1x8d RNS
4g0z 5GP
1icj PGO
1m0n HCP
2aac FCB
4aci CIT
4uru 6W2
4ury RV1
4x11 SIA
5fsb 6YR
5hcl 5Y9
5jqb IBP
1ajp OMD
2igv 2-mer
3ao5 BBY
3i3b 149
1rdl MMA
2ay8 4TB
2os9 INS
5f6v 5VL
5m9w 7GR
5nzo 9EZ
1ukt 4-mer
1ew8 PAE
3ao1 BZX
4eh9 0OQ
4np2 2L1
5v6u 8YM
1hge MNA
1uto PEA
4ahu ICO
4mfe 3PY
1ps3 KIF
2rjs 296
3fu0 22F
3ip8 B85
2ay1 AHC
4ddk 0HN
4ehv 0SJ
5fnj YI6
1hyv TTA
1inh ST6
1jdj CFP
1n1g BCP
1o4g I59
1uxa SIA-GAL
1w1p GIO
2ay7 CLT
2hdu F12
2xix XIX
2xlc DEP
3dyo IPT
3kgq CIT
3mhw ABV
3pcg 4HP
3rv4 ADP
4b6e 10L
4e3d GTQ
4g0y AMP
4jsz FB2
4led XXR
4wh7 8H8
5enc 5QD
5eni 5QA
5enj 5Q9
5g42 4TU
6au2 CGJ
6gmq F4K
1m0o MPM
4y0a SKM
5mz8 SIN
2qve 247
5aol UFV
1z6d IMP
4iie CGB
5elf 5-mer
1qi0 CBI
3gtc GTC
4k3k SFK
4y3y DCL
1o4j IS2
3g2z GZ2
5fsc G8Z
3t0d 149
4jck 1LL
6rnt 2AM
3f6e 8PA
4aj2 52C
6md8 J84
1f73 HMN
1nwl 964
4nyt PC
4tya 3AE
2wi1 ZZ2
3dxg U5P
3l7b DKZ
3pcb 3HB
3t2t MQT
4u5l 3D6
4y38 0A9
4zsm 4RW
1o4r 787
2wsx NM2
4u5s 3D0
6aaq 9U9
4u5o 3D5
5os3 A7N
6mli ARG
1o4h 772
1oba CHT
1t4s VAL
2i2b CC5
2xiy XIY
3ked DAB
3l7c DK4
3mjl 2AI
4d62 SIA
1gbq 10-mer
1o4o HPS
2aez DQR
3l79 DKX
4ah9 0MB
4ddm 0HO
4eh6 0ON
4x8u 3ZB
5aqh ZVO
1tok MAE
1utl PRA
3rik 3RI
4gne 7-mer
4y4j LNR
5dv4 NMY
5jal 6HO
6fhq DE5
1gyx BEZ
4u5n 3D4
4ze6 011
5mn1 2AP
5mnb 2AP
5mnx 2AP
5mon 2AP
1o4q 256
4efk 0OC
4ej2 D1F
4kz7 1U5
6c3n EHY
1ai4 DHY
3g30 G30
4ctj 3A9
6dji GOG
1rq2 CIT
1wdr MAL
3ad7 MTG
3bf1 ADP
3fq7 PXG
3gr2 GF4
3mfv Z70
3vdb 149
4e3f GRE
4g0q C5P
4urz VJP
5f6d 5VJ
5f6u 5VK
4hj2 LZ6
1iup ALQ
1il3 7DG
1kf0 ACP
3b3s LEU
3ovn MPV
5eif 4M0
5n53 8NB
5os0 A6Z
1gwv LAT
2ria 289
2wq4 SFU
3kgp 4AZ
5v4q 8WY
6poq OVJ
2ay5 IOP
2jst HLT
3gvb 3GV
4o3a ASP
4o3c ASP
4wef DF4
5tpb 3-mer
1o4p 791
2c4v CIT
2r5a MLZ
3gwv RFX
3rxf 4AP
4up5 94W
5g46 6VD
6mia 1CE
1cze SIN
1w1y TYP
2kfh 12-mer
3f37 2MY
3f38 2MY
3fk1 GPF
3rxl SZ9
4lnf GLN
4lno GLN
5foo JAZ
5lvd 79F
1ajn AAN
1g5f DCE
1o4i 219
3p1d MB3
4i8x 6P3
4q7w 6MH
4q8y HQT
4ufl DZX
6fhu 3-mer
5ey0 GTP
1il5 DDP
3a1e ACP
3rxb ALG
4y2p 3C5
5eld 5-mer
3lvw GSH
6prt OWA
1hgi ANA
1o8b ABF
2q72 IXX
3rxk SZ8
4b3c 5H1
4b3d 5MI
5aqj Q88
5aqp 1LQ
3elc F01
4usw ATP
5k5s TRP
1br5 NEO
1gym MYG
1lt5 TDG
1tc1 FMB
1ylv SHF
2fzc EOP
2ha4 ACH
2krd 17-mer
2ohk 1SQ
2ow6 NK1
2uyn 2KT
3bra AEF
3ftz 848
3fud 692
3fuf 14O
3fuh 5H1
3gk2 27A
3gsg GF1
3hvg EV0
3rqw ACH
3sl0 FB5
3zsw ZSW
3zsz OM2
3zt1 OM1
4h4b 11H
4okp 2V0
4old 2UZ
4wks 3QD
4ypf 4FS
4yrc 0P6
4yrg 4HU
4yrr 691
5aok GOH
6fty E7H
6nmb AMH
4kpz 1SF
6poh OVG
1pfu MPJ
2rkd 3PP
3p4r GUA
5fsx ADP
6dih GJS
1dg9 EPE
2qwb SIA
2vyt MLZ
4m6u TTN
4ndu AMG
5os2 A7K
6a9c 9-mer
1rql VSO
5oyd 7-mer
6aan 9TX
1ny2 5-mer
4bt5 23B
5er4 5RL
2bet DEZ
2p3o GTA
3fcq M3S
3l0n S5P
4a4h DA2
4g5y 0OC
4kz3 1U1
4urv UMK
4ykk DSN
5aqn JG8
5oug 9Z0
6er4 3-mer
6g24 EH2
2yiv NBN
3ftw 11X
4yrt 781
5os4 A8H
6aad 9TU
2bge T2D
2bza ABN
3zt4 ZT2
4kz8 1U6
4urw DXO
4yw2 2-mer
5fbi 5WD
5fov 6-mer
5hki 6ZJ
5ofw 9TW
5zee HAR
6rqk MVL
3djx C5P
4eh4 0OL
4oyt FON
4rrg A3T
1czc GUA
1p17 IMP
2a3a TEP
2rib GMH
2w6z L21
2xj0 XJ0
2yc0 2HG
3fue 11S
3lka M4S
3ppr 4CS
4dsu BZI
4k7i CAQ
4pb1 RBV
4z46 1PT
5aip 4HP
6cw4 FGV
6evm 9-mer
6mj7 ARG
6quw JJQ
4yz5 SLT
3fu3 92G
3moh PGA
3zt2 ZT2
4cgj NZL
1il4 9DG
2a29 ANP
2ork IPD
3atk SZ1
3k3g MMU
3rxa SZ1
3udh 091
4luv 1XS
4mlt TM4
4x47 DAN
4ym2 SGA-BGC
5aqo CWS
5th4 BEW
6jjm 4-mer
3qx8 GTG
3zt3 ZT4
4ouj LBT
4pd5 GEO
5z1c ZXI
4fgz CQA
5thj 0TR
1e34 TPX
2woq AYC
4a4f 2MR
4ucv I6G
1cet CLQ
1iih 3PG
1ugp BUA
2k2r 10-mer
2wpb ZZI
2wtx VDO
3f36 IP0
3g31 GF1
4b35 4ME
4cd8 2-mer
4gqq 0XR
4kzb NZ2
4llx 5ZE
4u5u 3D2
4urx HXY
5aes 5B0
5flt VJJ
5ngz 2BG
5orv A65
6b7b CWJ
6f6s CXQ
6mvu K4V
3c2u B3P
5aom FY8
5dv2 C5P
1ms0 DAN
2ay4 PPT
2pri D6G
4kc1 WS1
1eef 2-mer
1h2k OGA
1o4k PSN
1p6e PC5
1zp5 2NI
2aa9 SKM
2aay SKM
2fkf G16
2fw6 CIT
2fwp CIT
2kfg 12-mer
3alt MLB
3iaf TPP
3k8c RES
4ai5 ADK
4ef6 I2E
4lm3 9ZE
4u4s 3C1
4x14 4-mer
4y2q 49N
4zki ADP
5c0k 4WK
5ct2 CXS
5x4m 7ZF
6fv4 16G
1tng AMC
3ftv 11X
4zv2 GLN
1p6d 3PC
2vmc NGA
4y62 48E
1f4e TPR
1w1t CHQ
1ykp DHB
2br6 HSL
2kdh KDH
2w8j PLS
3g34 1CE
3imc BZ3
3img BZ3
4bgy 3-mer
4dst 9LI
4k3l 2-mer
4mrg 24W
4owm 3F0
5fng YIE
6r9x JW2
2hw2 RFP
4ceb ZSV
5flq IO2
2rnw 15-mer
3ckb MLR
3djq UDP
4ibc 12G
5aba UL7
5aqu UX0
3ump ATP
4a4g DA2
4bps 3EB
1ecq DXG
1hqg ORN
1mcz RMN
1ux7 3-mer
1w7h 3IP
1wbg L03
1wbo 2CH
1ws4 GYP
1yc5 NCA
1z9h IMN
1zm7 TTP
2f1b GB3
2h2e SA8
2q8h TF4
2r0y 13-mer
2rka PGA
2v3u DSN
2vin 505
2vtm LZM
2wa3 A29
2xgm LXN
2xgo ZKD
2xp3 B21
2ych ATP
3ap7 3-mer
3d9o 14-mer
3eka ASC
3grj G14
3ime BZ2
3nf8 CDQ
3nk8 JKZ
3ob0 2M6
4b2i LZ1
4fe9 MTT
4k0o NAG-MBG
4k5z 1P7
4k64 3-mer
4k72 10-mer
4l51 HSX
4l5j HSX
4lkh SIA-NAG
4llk MEW
4m5r MSR
4o7d ONL
4oyp BZ2
4oz2 1Z6
4r3w A2P
4txs 3AQ
4u0w 16G
4wh9 3M8
5a5o J5I
5aqr N8Y
5c7b 4YD
5ehw 5OO
5fnq S0W
5jah 6HQ
5l97 6RW
5lz2 7BX
5tpc 6-mer
5u66 15-mer
5ye8 8U3
6fh6 D8Q
6fh7 EN2
6ftz E7E
6gjy F1Z
6n17 K8Y
6quv JJN
1g42 CP2
1utm PEA
4g0p U5P
5jan 6HP
2vmd MBG
3dc2 TLA
3fuk 58Z
4q81 7MH
4xm8 41T
5z4h A8K
6f6n SRE
6n19 K8V
1ogd RIP
1ws5 MAM
2ggu MLR
2ha3 CHT
3adv SRO
3esj CC7
4lm2 8ZE
4qp2 36R
5aoi RZH
1rtf BEN
2pcu 5-mer
3ay0 ADN
3t08 IPT
3t1m DQT
3zvv XAZ
4i7k MBN
4lm4 JPZ
5fls 6ZX
1f74 NAY
1gvk 4-mer
1gzg LAF
1o41 300
1pum GLB
1uj5 5RP
1uj6 A5P
2ohl 2AQ
2vcw ZZA
4g5f 0JD
4guj SKM
4u5v RH2
5abe XQO
5ort A5Z
6ncn KJM
2jfh LK1
2ksa 11-mer
3atm TSS
3hw1 EV2
3rxi TSS
3rxj GBS
4csy SIA-MAG-GAL-FUC
4nyi 2PX
1rnm C5P
1s26 APC
3mof OXL
4yrs 4JS
6fh3 RPI
1hiy 3AN
1y1z 192
4yv1 4K2
5ehv 5ON
6ew6 C0H
1mdl RMN
1ugw GAL
4eh5 0OM
6pml OR4
1a5v _Y3
1af2 __U
1ec9 XYH
1pu7 39A
1pu8 EA1
1swi BNZ
2xdl 2DL
3buf AEG
3f78 ICF
3mo8 12-mer
4cjr FYM
4j79 6-mer
4kz6 ZB6
4pl6 11-mer
4pxf 11-mer
4y2j 49G
4y64 48C
5aqq BBW
5cr7 5WO
5eh8 5O6
5ggo 2-mer
5lzg 7BN
5lzh 7BN
5orw A6E
1k2i SN1
1uod G3H
2ay6 3IB
2lto 13-mer
2lwi KOB
3c2r PHT
3msj EV3
4aj1 AJ1
4ajk 88S
4d52 GIV
4gbz BGC
4wf4 WF4
5enb 5Q5
1h9l 5-mer
2ksb 11-mer
4bt3 WTZ
4cgi NZL
4uct 5U1
5ey4 DTP
1ax0 A2G
3kac 4BX
5c5t AKG
6d1k M3Q
6dhu GHM
6die GHM
6qhg MGT
2f1a GB2
2ya7 ZMR
3odk ODK
4b34 ABV
6cea EYY
6g27 EHE
1e6q NTZ
1eei GAA
1k9q 5-mer
1noi NTZ
1noj NTZ
1nok NTZ
1rin MAN
2fr8 NAD
2p8n ADE
3cgy RDC
3e73 GSH
4de5 0JD
4fzj 0W1
4lw1 1XS
4x0z 4-mer
5e5g DTR
5flo J4K
5fnf TQL
6a87 2-mer
6cc9 EWS
6ccx EWS
6cyh N5A
2ymd SRO
3ad8 PYC
3ecn IBM
3f34 DIE
3f35 DIE
3kpu ES1
3lk0 Z80
4eh2 0OK
4pli 11-mer
5n1x 8HH
4hnc 0UT
4uce MZS
4x3i 7-mer
5fot 6-mer
5fox 6-mer
5ose A98
6cv8 I3P
1b9s FDI
1lbk GSH
1ro7 CSF
2wik TC5
3at1 PCT
3bug AEH
3kid 2BS
1o6i 0HZ
2zdx P4A
3dxh UDP
3g1v 5FU
4gzx 2-mer
4mlx TM7
6dyn HSM
6f6i 8PR
6pvy OZG
6ssy P7I
1axz GAL
2nd0 19-mer
2w0x PD2
2wij TN7
3kab 4BL
4nrm FLC
5cs6 K82
5d9p NBG
5flp 6J5
5ijr HRG
1s5z SON
3fty 3IP
5mwo J6W
5osd A9B
6tim G3P
1br6 PT1
1e6s GOX
1e72 GOX
1evh 7-mer
1ew9 MMQ
1k1y ACR
1q5l 7-mer
1qwu GUL
1tog HCI
1x6u DO8
1zc9 PMP
2bv4 MMA
2ri9 LDY
2uy3 H33
3aru PNX
3i8t LBT
4n5d 2FQ
4tyl 39O
4wn0 G3P
5go2 CIT
5n1y 10-mer
5ou2 36Y
1px4 IPT
2gmk AMP
3zsy OM3
4kc4 WS3
4lm1 7ZE
4unp TXW
5ene 5Q8
5qay X6P
2r8q IBM
3qfz NOJ-SO4
4b2l TR7
4k60 1P8
4luo 1DZ
4qlk CTT
4y2u 49R
5o0a 9FH
6er3 2-mer
6g9b IXX
1v2j BEN
2ndo SFQ
3ta1 ADP
4lm0 5NI
4zij SFQ
5oxl 2-mer
1l5s URC
3t1l MQT
4egh 0OY
4k66 4-mer
4wkt BUB
5yas FAC
1axr HTP
3ioe A7D
4jbl MET
5jzs FGZ
5kdf 6RU
1bcu PRL
1g9t 5GP
1x07 IPE
2xgs 44P
3d52 GHR
3ms4 21N
3tfu PL8
3zsx N44
4eh7 0OO
4fl1 ANP
4yv0 4JW
5moe OQC
5odu AMG
5yf1 8V0
5z4o HX8
1ax1 GLC-GAL
4f20 13-mer
5duw 5GO
6ibk YTW
1d7j BUQ
1k9r 6-mer
1lt6 GAA
1o4e 299
1phw __N
1tpw PGH
1zd2 NC3
1zd3 NC4
2aq7 TL5
2aqb TL6
2hd1 IBM
2uxx FAJ
2vw2 NHE
2w0s BVP
2xml OGA
3aaq ARU
3avg 8-mer
3avh 8-mer
3avi 8-mer
3avj 8-mer
3avk 8-mer
3avm 8-mer
3avn 8-mer
3ch9 XRG
3gv6 15-mer
3h2c B58
3hcm S45
3i90 11-mer
3i91 8-mer
3l7g M44
3n1v 3N1
3n1w 3N2
3n3l MS0
3n45 3N3
4b6f 20L
4ddh MS0
4gj8 0LU/0LW
4gj9 0M2
4j58 53Z
4jss BEW
4mrw MRW
4msa 2ZM
4np3 2L2
4ojq 2SX
4oue IPT
4tz8 39U
4u6e Q02
4ucr JCF
4x13 5-mer
5ejw 5PZ
5g45 A7W
5ggp 12-mer
5l96 6RZ
5mgg 7MU
5mgl 7MU
5mgm 7MZ
5mt0 QJS
5mt4 M7O
5oul AWE
5v19 8V4
5vdo 1YC
5vdr 9B7
5vds 9BJ
6bsx E7S
6hov FER
1i2s CIT
1pzp FTA
3msc 24S
4kc2 WS2
5c7a 4YE
5fe7 5WU
5l98 6RY
5os1 A7H
1pzo CBT
2wk6 IUR
4a4e 2MR
4cjp 4D2
4i7j BNZ
5gmu 7LH
5l99 6S0
5tg4 JW1
6dlx GXY
6efj O5E
6mey O5E
6oh3 NCC
6pg3 OHJ
6phx 3-mer
188l OXE
1jlr GTP
2a3b CFF
2pnc CLU
4ab9 VXQ
4b0b 54F
4b5t 2KT
4b5w PYR
4k2y ES2
4pd9 ADN
6mv3 WW7
6sy7 AMP
2xoi SFB
3f33 PFL
3ry8 FLC
4b32 03V
4bt4 QFH
4cp5 EOI
4gwk 3PG
4yuy 1SQ
5ehi 5O3
2qcm JW5
3c2o NTM
3pwk L14
3zxe PGZ
4gnf 15-mer
4joh 10-mer
4lkq 1XM
4u7o AN2
4ucu 8HC
4wet WEF
5wxp 4-mer
5ze6 HJX
6mmo AMP
6q6f HJQ
1ahy MAE
2ha7 BCH
2pvv OSE
2vc7 HT5
3av9 8-mer
3zzh ARG
4cj4 S3G
4wyp AMP
5orz A6W
6gj5 F0N
6gxw FGN
187l PXY
1tnh FBA
1v2u BEN
1v2v BEN
2c6g GLU
2n8t 14-mer
3d8z TXS
3n35 A2G
4b33 1NP
4mrd NAG-BDP
6mnv JVS
1z34 2FD
2fzg EOB
3a73 PJ2
3tay MN0
3w07 U5P
4qll CTT
5l8o CHD
1toj HCI
2j9h GTX
3mrx 17S
4ipn 1FT
4lhm AZZ
4ms0 2ZX
5jzb 6OT
5lsh KTS
5mxk ZHA
5os5 A8K
6pic 6XA
1bxr ANP
1f8d 9AM
1hxk DMJ
1ikt OXN
1il9 MOG
1jt1 MCO
1l83 BNZ
1m83 ATP
1uz4 IFL
1way L02
220l BNZ
223l BNZ
2jbu 12-mer
2jqk 19-mer
2q8i RDC
2qcd U5P
2rnx 13-mer
3d8y T3S
3jzh 5-mer
3k26 12-mer
4abe 913
5afl FHV
5o4t 9KT
5qaw TVC
5qaz Q2S
5uah RFP
6fg6 D8Q
6gzy FHH
6uhu Q7V
2v2c PGA
3nba APC
4yas CLX
6byk 12-mer
6ce8 EYV
6m7i J84
6pht OKP
1hyz TTO
2qtn NCN
2sim DAN
2w08 TPO
3iob A4D
3kqp ES5
3muk 8-mer
3px9 JP3
4c71 7RD
4d8a 0HY
4llj 1XN
4mi9 26W
4n8q FA0
5i38 KOJ
5yij NAI
1kti AZC
1ywi 10-mer
2c57 FA1
2wig TC3
2xog SFB
3axz ADN
3ms7 22S
4k67 3-mer
4kw6 QDO
5aqv KC7
5ehg 5O0
5osl A9K
2xp5 4FF
3as2 POY
4b4n 15-mer
4umc PEQ
5wi0 AQ1
6exs C3H
6mdq TES
3nik 4-mer
4c6z TLE
5ory AY4
1moq GLP
1t48 BB3
1wcc CIG
2wi2 ZZ3
2wi3 ZZ3
3blu PVS
3dla NXX
3muz IPT
3nil 4-mer
3nuy JPZ
4bhf MZT
4gby XYP
4k5p 1OS
4nrq PD2
4qp6 36N
4tz2 39R
5qal TVZ
6hgr IMP
6phz FKS
6q4e HH5
3mtd 25E
3nf7 CIW
3ta0 ATP
4d2d 3-mer
4epy 0QY
4h42 11E
5ai4 4VY
5ma7 7K0
6pvz OZM
1osv 13-mer
1tsi 4PB
2c90 C1M
2f10 BCZ
2p3i MNA
3d9m 14-mer
3g1d U
3gx0 GDS
3nyd 3NY
4k7n MCT
5eh7 5O5
5fni YIH
5qaj VBC
5xg5 A2G
5z9e 27K
5zlf B29
1c5o BAM
1gzc LAT
1pzj 15B
1utn ABN
2ggx NPJ
2qcf 5FU
3d1v D1V
4avs N7P
4b5s PYR
4nyj 2PZ
5ak6 YPN
5eok 9-mer
5fnd IQ5
5i25 8-mer
5ybi ANP
6b0v C8G
6d9x FZM
6poi OVS
3fcl 3FL
4i7p ES3
4n3w 15-mer
4wey EG6
6gbe 12-mer
1gz9 FUC-LAT
2ohm 8AP
2r0h CTO
3nus JNZ
4lpf 3TR
5aqt 5P7
5cp9 6O5
5dtt 5F5
5h1u 6KT
5m4q PRO
5mby PRO
5orx A6H
5qaf S1D
1imx CPQ
1jys ADE
1o4d 262
1o4f 790
1ysg 4FC
2fyv W72
2j27 PGA
2vw1 DAN
3c14 POP
3lcu SAH
3mfw B3U
3qw6 5-mer
3tf7 9-mer
3zlv HI6
3zly YSO
4c70 TLJ
4eky D1J
4g93 0YP
4hv7 19J
4mrz 2ZV
4oyo 1WC
4y5i 9-mer
5mod 86L
5ok3 18-mer
5qa5 L5D
5vfn HCI
6eji UD2
6g25 EHQ
2b4m PBE
2y67 N21
3avf 8-mer
3h06 VBP
3nf6 IMV
4eh3 NAR
4nmr 10-mer
4orx PEU
4ory PEU
185l IND
1vjd ATP
2jbv FAO
2o9v 10-mer
3blt PSY
3bm8 PSY
3nf9 CD9
3obq 9-mer
4gng 15-mer
5ggk MBE
5qaq S1C
5v2l ATP
6f5u CQN
1v2r ANH
2ay3 MPP
2cle F6F
2clf F6F
2clm F6F
2hwg OXL
2n7b 4-mer
2qwc DAN
2xah 3PL
3pjg UGA
3qvu NPO
4aji 88R
4k3m 5-mer
4mjr 0LA
4n98 4FC
4nym RND
5av0 47X
5btx CMP
5dts 5F8
5dva 5FL
5fpk 6-mer
5l8t 6RR
5vkm 2-mer
6fn9 DW8
6knh CIT
2hrm UC5
2lsp 13-mer
2ycm 30A
4joe 10-mer
6ccl EXG
1h46 RNP
1jwm 13-mer
1np0 NGT
2l1r SXK
2rly 8-mer
3ej5 EJ5
3ff3 GLU
4abg 91B
4ck3 K1T
4ibb 1DK
4q8x 7FH
4xm7 41S
5a7b KMN
5csh 54E
5enf 5Q7
5jz9 6OR
5wpb B8P
1vjc ATP
3dx1 YHO
4g19 GSH
4y63 48O
5q1g 9NM
5ual RFP
6gjm L36
1gww UDP
1nli ADE
2gsu AMP
2nn8 LAT
2pgj N1C
2pgl N1C
3sl1 FB6
3x1k ANP
4cd6 2-mer
4cjq VXO
4k3r 6-mer
4q7v 5MH
5mxf MFU
6dpz H7D
6egs UD2
6p8a O4D
6pg4 OHG
1bo5 FBP
1d1p EPE
1d7i DSS
1qw7 EBP
1uys H1L
1w31 SHO
1zd4 NC6
2bgr 9-mer
2fzk EOZ
2oq6 OGA
2q6h CXX
2qch 5IU
2qpu QPU
2wp1 10-mer
2xdk XDK
2y68 T04
3afk 3-mer
3b3x A33
3bb1 GNP
3g0i VPR
3jdw ORN
3kn0 3TO
3m3o 3-mer
3pke Y10
3t2p IPT
4b3b 6-mer
4c1y MFB
4meo 25V
4meq 25O
5dqf CZE
5lvr 78Y
5qac U4J
5ujv A8S
5y97 LAT
6ahi MET
6gx3 FF2
8gpb AMP
1g9s IMP
2kff 12-mer
2l98 STL
2vfz UPF
3ftu RE2
3jzj ACR
3sk2 GRI
4a4c 12-mer
4ln2 11-mer
4qp1 EMU
5c91 4YU
5lud 76X
5oqu A4B
5thi 0TR
6beb RFV
6mmc ADP
1pb9 4AX
3pcc PHB
3st6 RVE
3udj 092
4bkt QD0
4fxj PHE
4nrc 2LY
4rrf A3S
4wy3 3X5
4yym 11-mer
5qae Q4G
5qao Z8R
6mll N1G
6mmq cAMP
6pge OJM
3fuj 00G
3jpx 15-mer
3rxm SW1
4mm7 29J
5dqe 5E4
5ork A4T
1gyy FHC
1j5i NCZ
2azr 982
2pem 7-mer
2qwg G28
2rk8 PPF
3px8 JP2
4bdi HAU
4gui QIC
4iuo QIC
5hog 17-mer
5qa9 QKU
6ccs EXD
6g28 AR6
1b9v RA2
3vws VWS
4agl P84
4y4v DAL
5aqk GDP
5o1s 9HB
5qab XEV
5yum ILE
6gg5 TRP
6v5l QPD
1l6y 4OX
2qv7 ADP
2rny 15-mer
2v00 V15
3buh AED
3ex6 U5P
3iny 7DG
3oy8 2-mer
3pcn DHY
3t2q 149
3tsd XMP
4aia ADK
4fl2 ANP
5b6c 11-mer
5ggn LEC
5kh7 6T7
5m17 2-mer
5nzn G39
5qak AV4
6cq1 F8J
6dyr HJD
2bve PH5
3fts STL
3h2m B61
3h2n B62
4cig X0P
4ibd 1DL
4lnp 10-mer
4mww G39
4n99 2J1
5er5 ET
5fog VRT
5fol SO8
5vdq 9BG
6fzu EE8
6mlh GPM
1c3x 8IG
1qsc 7-mer
2x6x 6-mer
2za3 U5P
3ioc A5D
3isj A8D
3uwl FOZ
4aje 2B4
4io7 PHE
4isu IKM
4mx1 1MX
4oru PEU
5f3t 5UH
5wxo 12-mer
6cfc BLG
1l2z 11-mer
2a8g GNG
3clp CMP
3d7b U4S
4gwi BDZ
4ovg 2VF
4tte 36Z
5ai0 JF6
5dkn B7I
5os7 A8Q
6fdu D5W
6gg4 PHE
6gmd A8Q
6ipm DCP
6njh KRD
1bcj NGA
1e37 TPY
1fwu 3-mer
1gz3 ATP
1gz4 ATP
1h0r FA1
1i43 PMC
1loq U
1pdz PGA
1uy6 PU3
1uy7 PU4
1uyd PU8
1uye PU9
1w70 15-mer
1wht BZS
2bjm ANF
2bmz XLM
2bvr 4CP
2fx6 270
3ex2 6CN
3ful 52D
3kd7 6-mer
3l59 BDJ
3mrt 12E
3n7a FA1
3zlw MT8
4ayt ACP
4ayx ACP
4b2d SER
4kza NZ9
4l7h 1W1
4l7j 1W2
4o4k 2PK
4pji 30W
5c6o 4YH
5c6p 4YH
5c87 4YS
5dy7 5GT
5dya 5GV
5em3 5Q0
5eva 5S9
5ewd 5SH
5g43 5IM
5hn0 LNN
5j41 2-mer
5jer 19-mer
5qag Q2R
5vdu 9BS
5vdv 9BV
5vdw 9BY
6chm F1V
6gjj L36
6mlp ARG
6pg6 OH7
6prg 4-mer
2vfk AMP
3fj7 PEQ
3g32 3G3
3wkc S0J
4k5m 1OV
4mjq 27R
6frj 7-mer
6mnp 1CE
1ai5 MNP
1fwv 3-mer
1grp ICT
1ugy GAL-GLC
2am4 U2F
2h9p 11-mer
2r23 2-mer
2yde S2G
3f5l LB2
3ms2 18S
3q6z APR
4jog 10-mer
4tk1 11-mer
4tk2 11-mer
4tln LNO
4ufm DGJ
5enh 5QB
5qas CVF
6d1h KED
6qtq 9-mer
